# Executable-code span locality per corpus ROM, measured 2026-08-05.
#
# Produced by examples/probe_code_span_locality.rs. Clusters JR RA
# (0x03e00008) sites into spans, splitting on gaps > 0x40000, and reports
# what fraction of them fall in the largest span.
#
#   SINGLE_BANK          >=95% in one span  232 ROMs
#   MOSTLY_SINGLE_BANK   >=80% in one span   23 ROMs
#   MULTI_SPAN           otherwise           32 ROMs
#
# WHY THIS IS WORTH RECORDING ONCE: DiscoveryStrategy::BootBankOnly
# (lib.rs:885) is a single verdict covering both 'this ROM has no overlays,
# nothing to find' and 'this ROM has overlays we failed to find'. This is a
# PERMANENT property of the ROM, so it separates the two:
#
#   NO_CANDIDATES and single/mostly-single bank   208  <- COMPLETE
#   NO_CANDIDATES and genuinely MULTI_SPAN         21  <- real misses
#
# The remaining overlay-discovery gap is therefore ~21 ROMs, not 229.
# Cross-check against corpus-zero-admitted-cause.tsv reproduces this.
class	rom	detail
SINGLE_BANK	NHL Blades of Steel '99 (USA)	jr_ra=7172 spans=1 concentration=1.00 largest=[0x878,0x16d79c)
SINGLE_BANK	NHL Breakaway 98 (USA)	jr_ra=1513 spans=1 concentration=1.00 largest=[0x878,0x63cf4)
SINGLE_BANK	NHL Breakaway 99 (USA)	jr_ra=1490 spans=1 concentration=1.00 largest=[0x878,0x62b34)
SINGLE_BANK	Nagano Winter Olympics '98 (USA)	jr_ra=2461 spans=1 concentration=1.00 largest=[0x878,0xeec90)
SINGLE_BANK	Namco Museum 64 (USA)	jr_ra=1915 spans=1 concentration=1.00 largest=[0x878,0x997bc)
SINGLE_BANK	New Tetris, The (USA)	jr_ra=1658 spans=1 concentration=1.00 largest=[0x878,0x8ab44)
SINGLE_BANK	Nightmare Creatures (USA)	jr_ra=1454 spans=1 concentration=1.00 largest=[0x878,0x9495c)
SINGLE_BANK	Nuclear Strike 64 (USA)	jr_ra=2452 spans=1 concentration=1.00 largest=[0x878,0x9f21c)
SINGLE_BANK	Ogre Battle 64 - Person of Lordly Caliber (USA) (Rev A)	jr_ra=5071 spans=1 concentration=1.00 largest=[0x878,0x2b8980)
SINGLE_BANK	Olympic Hockey 98 (USA)	jr_ra=2090 spans=1 concentration=1.00 largest=[0x878,0xcc5a0)
SINGLE_BANK	PGA European Tour (USA)	jr_ra=1740 spans=1 concentration=1.00 largest=[0x878,0xb05fc)
SINGLE_BANK	Paperboy (USA)	jr_ra=6258 spans=2 concentration=1.00 largest=[0x878,0x1104d8)
SINGLE_BANK	Penny Racers (USA)	jr_ra=1334 spans=1 concentration=1.00 largest=[0x878,0x10fe90)
SINGLE_BANK	Pilotwings 64 (Europe) (En,Fr,De)	jr_ra=2300 spans=2 concentration=1.00 largest=[0x878,0xd72fc)
SINGLE_BANK	Pokemon Puzzle League (France)	jr_ra=1432 spans=1 concentration=1.00 largest=[0x878,0xb2e80)
SINGLE_BANK	Pokemon Stadium 2 (France)	jr_ra=13344 spans=2 concentration=0.99 largest=[0x86c,0x4380ac)
SINGLE_BANK	Polaris SnoCross (USA)	jr_ra=2042 spans=1 concentration=1.00 largest=[0x878,0x88204)
SINGLE_BANK	Power Rangers - Lightspeed Rescue (USA)	jr_ra=901 spans=1 concentration=1.00 largest=[0x878,0x63010)
SINGLE_BANK	Powerpuff Girls, The - Chemical X-Traction (USA)	jr_ra=1210 spans=1 concentration=1.00 largest=[0x878,0x89fa0)
SINGLE_BANK	Puyo Puyo 4 - Puyo Puyon Party (Japan)	jr_ra=1817 spans=1 concentration=1.00 largest=[0x878,0xd95a4)
SINGLE_BANK	Quake 64 (USA)	jr_ra=1826 spans=1 concentration=1.00 largest=[0x878,0x6b264)
SINGLE_BANK	Quake II (USA)	jr_ra=1490 spans=1 concentration=1.00 largest=[0x878,0x64404)
SINGLE_BANK	Rally Challenge 2000 (USA)	jr_ra=1272 spans=1 concentration=1.00 largest=[0x878,0x8b3e4)
SINGLE_BANK	Rampage 2 - Universal Tour (USA)	jr_ra=2946 spans=1 concentration=1.00 largest=[0x878,0x80794)
SINGLE_BANK	Rat Attack! (USA) (En,Fr,De,Es,It,Nl)	jr_ra=1934 spans=1 concentration=1.00 largest=[0x878,0xb43ec)
SINGLE_BANK	Rayman 2 - The Great Escape (USA) (En,Fr,De,Es,It)	jr_ra=3308 spans=1 concentration=1.00 largest=[0x878,0xd00ec)
SINGLE_BANK	Razmoket, Les - La Chasse aux Tresors (France)	jr_ra=1354 spans=1 concentration=1.00 largest=[0x878,0x5a4ec)
SINGLE_BANK	Razor Freestyle Scooter (USA)	jr_ra=1593 spans=1 concentration=1.00 largest=[0x878,0x83dd0)
SINGLE_BANK	Re-Volt (USA)	jr_ra=2223 spans=1 concentration=1.00 largest=[0x878,0xc27b8)
SINGLE_BANK	Ready 2 Rumble Boxing (Europe) (En,Fr,De)	jr_ra=1865 spans=1 concentration=1.00 largest=[0x878,0x82594)
SINGLE_BANK	Ready 2 Rumble Boxing (USA)	jr_ra=1866 spans=1 concentration=1.00 largest=[0x878,0x832d4)
SINGLE_BANK	Resident Evil 2 (Europe) (En,Fr)	jr_ra=248 spans=1 concentration=1.00 largest=[0x878,0x1211c)
SINGLE_BANK	Road Rash 64 (USA)	jr_ra=1680 spans=1 concentration=1.00 largest=[0x878,0x9d738)
SINGLE_BANK	Robotron 64 (USA)	jr_ra=1658 spans=1 concentration=1.00 largest=[0x878,0x72a64)
SINGLE_BANK	Rocket - Robot on Wheels (USA)	jr_ra=2023 spans=1 concentration=1.00 largest=[0x878,0x9fc5c)
SINGLE_BANK	Rugrats in Paris - The Movie (Europe)	jr_ra=1890 spans=1 concentration=1.00 largest=[0x878,0xa51e0)
SINGLE_BANK	Rush 2 - Extreme Racing USA (USA)	jr_ra=400 spans=1 concentration=1.00 largest=[0x878,0x1b3f0)
SINGLE_BANK	S.C.A.R.S. (USA)	jr_ra=906 spans=1 concentration=1.00 largest=[0x878,0xb6928)
SINGLE_BANK	SD Hiryuu no Ken Densetsu (Japan)	jr_ra=2266 spans=2 concentration=0.98 largest=[0x878,0x10a338)
SINGLE_BANK	San Francisco Rush - Extreme Racing (USA) (En,Fr,De) (Rev A)	jr_ra=398 spans=1 concentration=1.00 largest=[0x878,0x1a580)
SINGLE_BANK	San Francisco Rush 2049 (USA)	jr_ra=797 spans=1 concentration=1.00 largest=[0x878,0x2d1f4)
SINGLE_BANK	Scooby-Doo! - Classic Creep Capers (Europe)	jr_ra=976 spans=1 concentration=1.00 largest=[0x878,0x4c3a4)
SINGLE_BANK	Shadowgate 64 - Trials of the Four Towers (Europe) (Fr,De,Nl)	jr_ra=1506 spans=1 concentration=1.00 largest=[0x878,0x7cf50)
SINGLE_BANK	Snowboard Kids (USA)	jr_ra=2294 spans=1 concentration=1.00 largest=[0x878,0xb3890)
SINGLE_BANK	South Park (Europe) (En,Fr,Es)	jr_ra=3189 spans=1 concentration=1.00 largest=[0x878,0xe2ef8)
SINGLE_BANK	South Park Rally (Europe)	jr_ra=1937 spans=1 concentration=1.00 largest=[0x878,0xaff50)
SINGLE_BANK	Space Invaders (USA)	jr_ra=1572 spans=1 concentration=1.00 largest=[0x878,0x6dc44)
SINGLE_BANK	Spider-Man (USA)	jr_ra=273 spans=1 concentration=1.00 largest=[0x878,0x63730)
SINGLE_BANK	Star Soldier - Vanishing Earth (USA)	jr_ra=1648 spans=1 concentration=1.00 largest=[0x878,0x6fa20)
SINGLE_BANK	Star Wars - Rogue Squadron (Europe) (En,Fr,De) (Rev A)	jr_ra=2720 spans=1 concentration=1.00 largest=[0x878,0x1334c8)
SINGLE_BANK	Star Wars - Shadows of the Empire (Europe)	jr_ra=13 spans=1 concentration=1.00 largest=[0x878,0x1e60)
SINGLE_BANK	Star Wars Episode I - Battle for Naboo (Europe)	jr_ra=2706 spans=1 concentration=1.00 largest=[0x878,0x1496d8)
SINGLE_BANK	Star Wars Episode I - Racer (Europe) (En,Fr,De)	jr_ra=1617 spans=1 concentration=1.00 largest=[0x878,0x9f6f4)
SINGLE_BANK	StarCraft 64 (USA)	jr_ra=4548 spans=1 concentration=1.00 largest=[0x878,0x12ca04)
SINGLE_BANK	Starshot - Space Circus Fever (USA) (En,Fr,Es)	jr_ra=1716 spans=1 concentration=1.00 largest=[0x878,0x93450)
SINGLE_BANK	Stunt Racer 64 (USA)	jr_ra=1788 spans=1 concentration=1.00 largest=[0x878,0xa6ee4)
SINGLE_BANK	Super Bowling (USA)	jr_ra=885 spans=1 concentration=1.00 largest=[0x878,0x6dbc0)
SINGLE_BANK	Super Smash Bros. (Europe) (En,Fr,De)	jr_ra=10993 spans=2 concentration=1.00 largest=[0x86c,0x262970)
SINGLE_BANK	Supercross 2000 (USA)	jr_ra=40 spans=1 concentration=1.00 largest=[0x878,0x5edc)
SINGLE_BANK	Superman (Europe) (En,Fr,De,Es,It,Nl)	jr_ra=1164 spans=2 concentration=0.98 largest=[0x878,0xf40f8)
SINGLE_BANK	Tarzan (France)	jr_ra=3006 spans=1 concentration=1.00 largest=[0x878,0x14b5f4)
SINGLE_BANK	Taz Express (Europe) (En,Fr,De,Es,It,Nl)	jr_ra=1482 spans=1 concentration=1.00 largest=[0x878,0x8fe00)
SINGLE_BANK	Tetrisphere (USA)	jr_ra=1139 spans=1 concentration=1.00 largest=[0x878,0xb9cd4)
SINGLE_BANK	Tigger's Honey Hunt (USA)	jr_ra=2412 spans=2 concentration=1.00 largest=[0x878,0x9c584)
SINGLE_BANK	Tom Clancy's Rainbow Six (France)	jr_ra=2017 spans=1 concentration=1.00 largest=[0x878,0x7bf3c)
SINGLE_BANK	Tom and Jerry in Fists of Furry (Europe) (En,Fr,De,Es,It,Nl)	jr_ra=1201 spans=1 concentration=1.00 largest=[0x878,0x873e0)
SINGLE_BANK	Tonic Trouble (Europe) (En,Fr,De,Es,It)	jr_ra=4933 spans=1 concentration=1.00 largest=[0x878,0xed1c0)
SINGLE_BANK	Tony Hawk's Pro Skater (USA) (Rev A)	jr_ra=273 spans=1 concentration=1.00 largest=[0x878,0x2f4b0)
SINGLE_BANK	Tony Hawk's Pro Skater 2 (USA)	jr_ra=274 spans=1 concentration=1.00 largest=[0x878,0x49f0c)
SINGLE_BANK	Tony Hawk's Pro Skater 3 (USA)	jr_ra=274 spans=1 concentration=1.00 largest=[0x878,0x716e8)
SINGLE_BANK	Top Gear Hyper-Bike (USA)	jr_ra=1066 spans=1 concentration=1.00 largest=[0x878,0x9c8f4)
SINGLE_BANK	Top Gear Overdrive (USA)	jr_ra=688 spans=1 concentration=1.00 largest=[0x878,0x522e8)
SINGLE_BANK	Top Gear Rally (USA)	jr_ra=882 spans=1 concentration=1.00 largest=[0x878,0x70aa0)
SINGLE_BANK	Top Gear Rally 2 (USA)	jr_ra=1593 spans=1 concentration=1.00 largest=[0x878,0xaba50)
SINGLE_BANK	Toy Story 2 - Buzz l'Eclair a la Rescousse! (France)	jr_ra=1196 spans=1 concentration=1.00 largest=[0x878,0xd9094)
SINGLE_BANK	Triple Play 2000 (USA)	jr_ra=3447 spans=1 concentration=1.00 largest=[0x878,0x1730f4)
SINGLE_BANK	Turok - Dinosaur Hunter (Europe) (Rev A)	jr_ra=20 spans=1 concentration=1.00 largest=[0x878,0x1eb0)
SINGLE_BANK	Turok - Rage Wars (Europe) (En,Fr,It)	jr_ra=6470 spans=1 concentration=1.00 largest=[0x878,0x1f4ef0)
SINGLE_BANK	Turok 3 - Shadow of Oblivion (Europe)	jr_ra=4704 spans=1 concentration=1.00 largest=[0x878,0x1636c8)
SINGLE_BANK	Twisted Edge - Extreme Snowboarding (USA)	jr_ra=1388 spans=1 concentration=1.00 largest=[0x878,0xb94c4)
SINGLE_BANK	V-Rally Edition 99 (Europe) (En,Fr,De)	jr_ra=2156 spans=1 concentration=1.00 largest=[0x878,0x9b310)
SINGLE_BANK	Vigilante 8 (France)	jr_ra=1192 spans=1 concentration=1.00 largest=[0x878,0x50e00)
SINGLE_BANK	Vigilante 8 - 2nd Offense (USA)	jr_ra=1303 spans=1 concentration=1.00 largest=[0x878,0x592ac)
SINGLE_BANK	Virtual Pool 64 (USA)	jr_ra=1886 spans=1 concentration=1.00 largest=[0x878,0xa05c4)
SINGLE_BANK	Virtual Pro Wrestling 2 - Oudou Keishou (Japan)	jr_ra=2539 spans=1 concentration=1.00 largest=[0x878,0x14bc94)
SINGLE_BANK	WCW Backstage Assault (USA)	jr_ra=822 spans=2 concentration=1.00 largest=[0x878,0x3b2d4)
SINGLE_BANK	WCW Nitro (USA)	jr_ra=846 spans=1 concentration=1.00 largest=[0x878,0x82eb8)
SINGLE_BANK	WCW-nWo Revenge (USA)	jr_ra=1720 spans=1 concentration=1.00 largest=[0x878,0xd5fa8)
SINGLE_BANK	WWF Attitude (USA)	jr_ra=15 spans=1 concentration=1.00 largest=[0x878,0x1644)
SINGLE_BANK	WWF No Mercy (USA) (Rev A)	jr_ra=3495 spans=1 concentration=1.00 largest=[0x878,0x1af8e8)
SINGLE_BANK	WWF War Zone (USA)	jr_ra=15 spans=1 concentration=1.00 largest=[0x878,0x16c4)
SINGLE_BANK	WWF WrestleMania 2000 (USA)	jr_ra=2484 spans=1 concentration=1.00 largest=[0x878,0x13d1c8)
SINGLE_BANK	Waialae Country Club - True Golf Classics (USA) (Rev A)	jr_ra=1509 spans=1 concentration=1.00 largest=[0x878,0xb4a8c)
SINGLE_BANK	War Gods (Europe)	jr_ra=2516 spans=1 concentration=1.00 largest=[0x878,0xa0594)
SINGLE_BANK	Wayne Gretzky's 3D Hockey '98 (USA)	jr_ra=1692 spans=1 concentration=1.00 largest=[0x878,0xc6834)
SINGLE_BANK	Wayne Gretzky's 3D Hockey (USA) (Rev A)	jr_ra=1747 spans=1 concentration=1.00 largest=[0x878,0x9c7e4)
SINGLE_BANK	Wetrix (USA) (En,Fr,De,Es,It,Nl)	jr_ra=899 spans=1 concentration=1.00 largest=[0x878,0x648f4)
SINGLE_BANK	WinBack - Covert Operations (USA)	jr_ra=2089 spans=1 concentration=1.00 largest=[0x878,0xdde48)
SINGLE_BANK	Wipeout 64 (Europe)	jr_ra=1015 spans=1 concentration=1.00 largest=[0x878,0x886a4)
SINGLE_BANK	World Cup 98 (USA) (En,Fr,De,Es,It,Nl,Sv,Da)	jr_ra=302 spans=3 concentration=0.99 largest=[0x878,0x14480)
SINGLE_BANK	World Driver Championship (USA)	jr_ra=1793 spans=1 concentration=1.00 largest=[0x878,0x7e2b4)
SINGLE_BANK	Worms Armageddon (USA) (En,Fr,Es)	jr_ra=4468 spans=1 concentration=1.00 largest=[0x878,0x13430c)
SINGLE_BANK	Xena - Warrior Princess - The Talisman of Fate (Europe)	jr_ra=2220 spans=1 concentration=1.00 largest=[0x878,0x8e978)
