# Source: aki-recomp/games/NWXE/syms/dump.toml
# Sections: entry and main_1050 (resident ROM 0x1000..0x4C0C0, VA 0x80000400..0x8004B4C0)
# Generated there by aki_profile.gen_symbols from games/NWXE/disasm/asm/1000.s and 1050.s
# Canonical ROM: NWXE, MD5 d9030ca30e4d1af805acce1bfed988cc, SHA1 442d417a52ed672ca1a47e7261a5414debb1e27a
name,va_start,size
func_8000C9E0,8000c9e0,8
func_8000C9E8,8000c9e8,11c
func_8000CB04,8000cb04,fc
func_8000CC00,8000cc00,78
func_8000CC78,8000cc78,6a8
func_8000D320,8000d320,74
func_8000D394,8000d394,9c
func_8000D430,8000d430,84
func_8000D4B4,8000d4b4,150
func_8000D604,8000d604,140
func_8000D744,8000d744,2e4
func_8000DA28,8000da28,3c
func_8000DA64,8000da64,40
func_8000DAA4,8000daa4,138
func_8000DBDC,8000dbdc,28
func_8000DC04,8000dc04,28
func_8000DC2C,8000dc2c,10
func_8000DC3C,8000dc3c,3c
func_8000DC78,8000dc78,5c
func_8000DCD4,8000dcd4,1c
func_8000DCF0,8000dcf0,660
func_8000E350,8000e350,420
func_8000E770,8000e770,138
func_8000E8A8,8000e8a8,594
func_8000EE3C,8000ee3c,108
func_8000EF44,8000ef44,3f8
func_8000F33C,8000f33c,198
func_8000F4D4,8000f4d4,50
func_8000F524,8000f524,ec
func_8000F610,8000f610,50
func_8000F660,8000f660,1a4
func_8000F804,8000f804,268
func_8000FA6C,8000fa6c,270
func_8000FCDC,8000fcdc,5c
func_8000FD38,8000fd38,a4
func_8000FDDC,8000fddc,8
func_8000FDE4,8000fde4,40
func_8000FE24,8000fe24,88
func_8000FEAC,8000feac,9c
func_8000FF48,8000ff48,88
func_8000FFD0,8000ffd0,c
func_8000FFDC,8000ffdc,48
func_80010024,80010024,68
func_8001008C,8001008c,68
func_800100F4,800100f4,214
func_80010308,80010308,ac
func_800103B4,800103b4,d4
func_80010488,80010488,b8
func_80010540,80010540,174
func_800106B4,800106b4,10
func_800106C4,800106c4,98
func_8001075C,8001075c,dc
func_80010838,80010838,ac
func_800108E4,800108e4,7c
func_80010960,80010960,2c
func_8001098C,8001098c,408
func_80010D94,80010d94,24
func_80010DB8,80010db8,24
func_80010DDC,80010ddc,b0
func_80010E8C,80010e8c,1c
func_80010EA8,80010ea8,40
func_80010EE8,80010ee8,20
func_80010F08,80010f08,50
func_80010F58,80010f58,134
func_8001108C,8001108c,34
func_800110C0,800110c0,1cc
func_8001128C,8001128c,84
func_80011310,80011310,124
func_80011434,80011434,54
func_80011488,80011488,700
func_80011B88,80011b88,298
func_80011E20,80011e20,244
func_80012064,80012064,244
func_800122A8,800122a8,37c
func_80012624,80012624,5cc
func_80012BF0,80012bf0,a4
func_80012C94,80012c94,638
func_800132CC,800132cc,290
func_8001355C,8001355c,578
func_80013AD4,80013ad4,70
func_80013B44,80013b44,b0
func_80013C00,80013c00,48
func_80013C48,80013c48,44
func_80013C8C,80013c8c,18
func_80013CA4,80013ca4,18
func_80013CBC,80013cbc,15c
func_80013E18,80013e18,8
func_80013E20,80013e20,11c
func_80013F3C,80013f3c,310
func_8001424C,8001424c,c0
func_8001430C,8001430c,d0
func_800143DC,800143dc,e4
func_800144C0,800144c0,304
func_800147C4,800147c4,dc
func_800148A0,800148a0,1c4
func_80014A64,80014a64,70
func_80014AD4,80014ad4,28c
func_80014D60,80014d60,4c
func_80014DAC,80014dac,8c
func_80014E38,80014e38,128
func_80014F60,80014f60,11c
func_8001507C,8001507c,1d4
func_80015250,80015250,154
func_800153A4,800153a4,60
func_80015404,80015404,430
func_80015834,80015834,d0
func_80015904,80015904,e8
func_800159EC,800159ec,198
func_80015B84,80015b84,28
func_80015BAC,80015bac,78
func_80015C24,80015c24,94
func_80015CB8,80015cb8,38
func_80015CF0,80015cf0,20
func_80015D10,80015d10,cc
func_80015DDC,80015ddc,30
func_80015E0C,80015e0c,30
func_80015E3C,80015e3c,3a8
func_800161E4,800161e4,64
func_80016248,80016248,194
func_800163DC,800163dc,68
func_80016444,80016444,78
func_800164BC,800164bc,17c
func_80016638,80016638,7c
func_800166B4,800166b4,658
func_80016D0C,80016d0c,230
func_80016F3C,80016f3c,2b4
func_800171F0,800171f0,1bc
func_800173AC,800173ac,2e8
func_80017694,80017694,18
func_800176AC,800176ac,60
func_8001770C,8001770c,134
func_80017840,80017840,3c
func_8001787C,8001787c,10
func_8001788C,8001788c,3c
func_800178C8,800178c8,34
func_800178FC,800178fc,196c
func_80019268,80019268,394
func_800195FC,800195fc,70
func_8001966C,8001966c,8
func_80019674,80019674,168
func_800197DC,800197dc,178
func_80019954,80019954,7d0
func_8001A124,8001a124,240
func_8001A364,8001a364,168
func_8001A4CC,8001a4cc,190
func_8001A65C,8001a65c,14c
func_8001A7A8,8001a7a8,20
func_8001A7C8,8001a7c8,8
func_8001A7D0,8001a7d0,8
func_8001A7D8,8001a7d8,8
func_8001A7E0,8001a7e0,8
func_8001A7E8,8001a7e8,44
func_8001A82C,8001a82c,40
func_8001A86C,8001a86c,8
func_8001A874,8001a874,8
func_8001A87C,8001a87c,8
func_8001A884,8001a884,8
func_8001A88C,8001a88c,8
func_8001A894,8001a894,8
func_8001A89C,8001a89c,8
func_8001A8A4,8001a8a4,8
func_8001A8AC,8001a8ac,8
func_8001A8B4,8001a8b4,28
func_8001A8DC,8001a8dc,8
func_8001A8E4,8001a8e4,8
func_8001A8EC,8001a8ec,e8
func_8001A9D4,8001a9d4,2a4
func_8001AC78,8001ac78,294
func_8001AF10,8001af10,15c
func_8001B06C,8001b06c,aa4
func_8001BB10,8001bb10,68
func_8001BB78,8001bb78,c
func_8001BB84,8001bb84,4f4
func_8001C078,8001c078,264
func_8001C2DC,8001c2dc,854
func_8001CB30,8001cb30,478
func_8001CFA8,8001cfa8,1f8
func_8001D1A0,8001d1a0,1a8
func_8001D348,8001d348,464
func_8001D7AC,8001d7ac,104
func_8001D8B0,8001d8b0,14
func_8001D8C4,8001d8c4,c
func_8001D8D0,8001d8d0,1fc
func_8001DACC,8001dacc,220
func_8001DCEC,8001dcec,60
func_8001DD50,8001dd50,254
func_8001DFA4,8001dfa4,1d4
func_8001E178,8001e178,240
func_8001E3B8,8001e3b8,288
func_8001E640,8001e640,3c
func_8001E67C,8001e67c,174
func_8001E7F0,8001e7f0,a2c
func_8001F21C,8001f21c,138
func_8001F354,8001f354,3f8
func_8001F74C,8001f74c,58
func_8001F7A4,8001f7a4,64
func_8001F808,8001f808,14
func_8001F81C,8001f81c,90
func_8001F8AC,8001f8ac,18
func_8001F8D0,8001f8d0,32c
func_8001FBFC,8001fbfc,3e8
func_8001FFE4,8001ffe4,a4
func_80020088,80020088,3d8
func_80020460,80020460,8cc
func_80020D2C,80020d2c,374
func_800210A0,800210a0,650
func_800216F0,800216f0,8
func_800216F8,800216f8,1e4
func_800218DC,800218dc,9c
func_80021978,80021978,79c
func_80022120,80022120,14
func_80022134,80022134,b4
func_800221E8,800221e8,98
func_80022280,80022280,58
func_800222D8,800222d8,240
func_80022518,80022518,1c
func_80022540,80022540,158
func_800226A0,800226a0,14c
func_800227EC,800227ec,d4
func_800228C0,800228c0,288
func_80022B48,80022b48,2c
func_80022B74,80022b74,30
func_80022BA4,80022ba4,250
func_80022DF4,80022df4,80
func_80022E74,80022e74,118
func_80022F8C,80022f8c,cc
func_80023058,80023058,80
func_800230D8,800230d8,b4
func_8002318C,8002318c,58
func_800231E4,800231e4,60
func_80023244,80023244,70
func_800232B4,800232b4,70
func_80023324,80023324,8c
func_800233B0,800233b0,88
func_80023438,80023438,3c
func_80023474,80023474,28
func_8002349C,8002349c,24
func_800234C0,800234c0,c
func_800234CC,800234cc,5c
func_80023528,80023528,24
func_8002354C,8002354c,28
func_80023574,80023574,30
func_800235A4,800235a4,5c
func_80023600,80023600,84
func_80023684,80023684,8
func_8002368C,8002368c,c
func_80023698,80023698,c
func_800236A4,800236a4,c
func_800236B0,800236b0,8
func_800236B8,800236b8,8
func_800236C0,800236c0,c
func_800236CC,800236cc,64
func_80023730,80023730,78
func_800237A8,800237a8,c
func_800237B4,800237b4,64
func_80023818,80023818,80
func_80023898,80023898,98
func_80023930,80023930,2f0
func_80023C20,80023c20,54c
func_8002416C,8002416c,7c
func_800241E8,800241e8,168
func_80024350,80024350,10c
func_8002445C,8002445c,70
func_800244CC,800244cc,1dc
func_800246A8,800246a8,1c
func_800246C4,800246c4,b8
func_8002477C,8002477c,58
func_800247D4,800247d4,64
func_80024838,80024838,c4
func_800248FC,800248fc,114
func_80024A10,80024a10,194
func_80024BA4,80024ba4,198
func_80024D3C,80024d3c,94
func_80024DD0,80024dd0,13c
func_80024F0C,80024f0c,1c8
func_800250D4,800250d4,38
func_8002510C,8002510c,b0
func_800251BC,800251bc,1a8
func_80025364,80025364,26c
func_800255D0,800255d0,54
func_80025624,80025624,c
func_80025630,80025630,20
func_80025650,80025650,30
func_80025680,80025680,20
func_800256A0,800256a0,c
func_800256AC,800256ac,128
func_800257D4,800257d4,e4
func_800258B8,800258b8,14
func_800258CC,800258cc,24
func_800258F0,800258f0,70
func_80025960,80025960,74
func_800259D4,800259d4,10
func_800259E4,800259e4,30
func_80025A14,80025a14,10
func_80025A24,80025a24,10
func_80025A34,80025a34,10
func_80025A44,80025a44,58
func_80025A9C,80025a9c,10
func_80025AAC,80025aac,c
func_80025AB8,80025ab8,10
func_80025AC8,80025ac8,c
func_80025AD4,80025ad4,6c
func_80025B40,80025b40,28
func_80025B68,80025b68,c
func_80025B74,80025b74,10
func_80025B84,80025b84,c
func_80025B90,80025b90,14
func_80025BA4,80025ba4,1c
func_80025BC0,80025bc0,8
func_80025BC8,80025bc8,48
func_80025C10,80025c10,c
func_80025C1C,80025c1c,8
func_80025C24,80025c24,70
func_80025C94,80025c94,10
func_80025CA4,80025ca4,50
func_80025CF4,80025cf4,50
func_80025D44,80025d44,50
func_80025D94,80025d94,10
func_80025DA4,80025da4,d0
func_80025E74,80025e74,3c
func_80025EB0,80025eb0,10
func_80025EC0,80025ec0,44
func_80025F04,80025f04,70
func_80025F74,80025f74,c
func_80025F80,80025f80,68
func_80025FE8,80025fe8,270
func_80026258,80026258,50
func_800262A8,800262a8,148
func_800263F0,800263f0,2e0
func_800266D0,800266d0,18
func_800266E8,800266e8,44
func_8002672C,8002672c,44
func_80026770,80026770,5c
func_800267D0,800267d0,174
func_80026944,80026944,d0
func_80026A14,80026a14,c
func_80026A20,80026a20,6c
func_80026A8C,80026a8c,19c
func_80026C30,80026c30,c
func_80026C3C,80026c3c,64
func_80026CA0,80026ca0,60
func_80026D00,80026d00,dc
func_80026DE0,80026de0,138
func_80026F18,80026f18,160
func_80027078,80027078,1c
func_800270A0,800270a0,4c
func_800270EC,800270ec,30
func_8002711C,8002711c,18
func_80027134,80027134,c
func_80027140,80027140,2c
func_8002716C,8002716c,74
func_800271E0,800271e0,a4
func_80027284,80027284,80
func_80027310,80027310,a0
func_800273B0,800273b0,3ec
func_8002779C,8002779c,134
func_800278D0,800278d0,578
func_80027E48,80027e48,a4
func_80027EEC,80027eec,220
func_8002810C,8002810c,140
func_8002824C,8002824c,48
func_800282A0,800282a0,448
func_800286E8,800286e8,18c
func_80028874,80028874,144
func_800289C0,800289c0,1bc
func_80028B7C,80028b7c,20
func_80028BA0,80028ba0,310
func_80028EB0,80028eb0,1f0
func_800290A0,800290a0,210
func_800292B0,800292b0,128
func_800293D8,800293d8,118
func_800294F0,800294f0,98
func_80029590,80029590,44
func_800295D4,800295d4,38
func_80029610,80029610,4c
func_80029660,80029660,118
func_80029778,80029778,c0
func_80029840,80029840,10
func_80029850,80029850,94
func_800298F0,800298f0,84
func_80029980,80029980,84
func_80029A10,80029a10,a8
func_80029AC0,80029ac0,88
func_80029B50,80029b50,74
func_80029BD0,80029bd0,270
func_80029E40,80029e40,168
func_80029FA8,80029fa8,2c
func_80029FD4,80029fd4,18
func_80029FEC,80029fec,60
func_8002A04C,8002a04c,38
func_8002A084,8002a084,50
func_8002A0D4,8002a0d4,54
func_8002A130,8002a130,4c
func_8002A180,8002a180,50
func_8002A1D0,8002a1d0,78
__osDisableInt,8002a250,70
__osRestoreInt,8002a2c0,1c
osSetIntMask,8002a2e0,a0
osCreatePiManager,8002a380,190
func_8002A510,8002a510,1ec
osEPiStartDma,8002a700,94
func_8002A7A0,8002a7a0,44
osCartRomInit,8002a7f0,178
func_8002A970,8002a970,394
func_8002AD04,8002ad04,24
func_8002AD30,8002ad30,54
func_8002AD84,8002ad84,6c
func_8002ADF0,8002adf0,28
func_8002AE20,8002ae20,120
func_8002AF40,8002af40,94
func_8002AFE0,8002afe0,1e8
func_8002B1D0,8002b1d0,1a8
func_8002B380,8002b380,7c
func_8002B400,8002b400,1f0
func_8002B5F0,8002b5f0,1b4
func_8002B7B0,8002b7b0,c8
func_8002B880,8002b880,10
func_8002B890,8002b890,10
osAiSetFrequency,8002b8a0,118
func_8002B9C0,8002b9c0,94
func_8002BA60,8002ba60,a4
func_8002BB04,8002bb04,498
func_8002BF9C,8002bf9c,b8
func_8002C054,8002c054,b0
func_8002C104,8002c104,8c
func_8002C190,8002c190,5c
func_8002C1EC,8002c1ec,5c
func_8002C248,8002c248,44
func_8002C290,8002c290,444
func_8002C6D4,8002c6d4,39c
func_8002CA70,8002ca70,1ac
func_8002CC1C,8002cc1c,178
func_8002CDA0,8002cda0,dc
func_8002CE7C,8002ce7c,30
func_8002CEB0,8002ceb0,500
func_8002D3B0,8002d3b0,d4
func_8002D484,8002d484,2d4
func_8002D758,8002d758,e0
